epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2437.67,2.21901,4.03374,1.12369,0.8488,0.35,0.3332,0.10689,2.79768,3.03205,1.26541,0.0012971,0.0012971,0.0012971
73,2461.25,1.8702,4.79241,0.81813,0.85554,0.35,0.35146,0.1225,2.74737,2.94006,1.2682,0.0012872,0.0012872,0.0012872
74,2489,2.27687,3.40366,1.12827,0.89716,0.35,0.36142,0.11956,2.745,2.91736,1.28282,0.0012773,0.0012773,0.0012773
75,2528.79,1.72049,3.30472,0.96084,0.89716,0.35,0.36142,0.11956,2.745,2.91736,1.28282,0.0012674,0.0012674,0.0012674
76,2578.33,1.83591,3.05686,0.9756,0.80619,0.3,0.31743,0.1063,2.87566,3.0033,1.32136,0.0012575,0.0012575,0.0012575
77,2629.3,2.02082,3.05247,1.00142,0.82235,0.3,0.32179,0.10649,2.98537,3.11904,1.35246,0.0012476,0.0012476,0.0012476
78,2693.92,1.62848,3.43972,0.8882,0.82235,0.3,0.32179,0.10649,2.98537,3.11904,1.35246,0.0012377,0.0012377,0.0012377
79,2732.03,2.06291,3.58154,0.97857,0.95323,0.35,0.40177,0.0901,3.03552,2.97184,1.37542,0.0012278,0.0012278,0.0012278
80,2780.29,1.4904,3.71024,0.81882,0.96531,0.35,0.37953,0.10044,2.90023,2.79304,1.32458,0.0012179,0.0012179,0.0012179
81,2821.27,1.67537,3.48115,0.8709,0.96531,0.35,0.37953,0.10044,2.90023,2.79304,1.32458,0.001208,0.001208,0.001208
82,2848.52,1.96148,2.87626,1.0055,0.96442,0.35,0.35905,0.11707,2.93256,2.92455,1.30939,0.0011981,0.0011981,0.0011981
83,2886.18,1.54212,3.65487,0.82832,0.98179,0.35,0.35751,0.09881,2.89095,2.91267,1.29293,0.0011882,0.0011882,0.0011882
84,2939.29,1.53063,3.30853,0.80545,0.98179,0.35,0.35751,0.09881,2.89095,2.91267,1.29293,0.0011783,0.0011783,0.0011783
85,2976.18,1.86054,2.60895,1.03075,0.82608,0.3,0.29391,0.08682,2.90142,2.84805,1.30314,0.0011684,0.0011684,0.0011684
86,3007.87,1.90788,3.2281,0.96863,0.82608,0.3,0.29391,0.08682,2.90142,2.84805,1.30314,0.0011585,0.0011585,0.0011585
87,3046.11,1.94583,2.97389,0.98142,0.94946,0.35,0.35735,0.09909,2.89433,2.91973,1.30393,0.0011486,0.0011486,0.0011486
88,3107.84,1.75595,2.77627,0.8892,0.2215,0.35,0.18204,0.0502,2.86761,3.57531,1.32022,0.0011387,0.0011387,0.0011387
89,3158.52,1.91363,2.7716,0.99513,0.2215,0.35,0.18204,0.0502,2.86761,3.57531,1.32022,0.0011288,0.0011288,0.0011288
90,3217.9,1.57715,3.77822,0.82253,0.18491,0.35,0.16131,0.03797,2.90405,4.05225,1.33503,0.0011189,0.0011189,0.0011189
91,3256.85,2.00741,3.02581,1.00618,0.21109,0.35,0.18746,0.03163,2.98335,3.49442,1.3508,0.001109,0.001109,0.001109
92,3276.16,1.8028,3.11499,0.95408,0.21109,0.35,0.18746,0.03163,2.98335,3.49442,1.3508,0.0010991,0.0010991,0.0010991
93,3303.64,1.85752,2.42583,0.97942,0.21589,0.25,0.10609,0.02963,3.06746,3.13421,1.38054,0.0010892,0.0010892,0.0010892
94,3351.58,1.73909,2.55913,0.95756,0.65751,0.25,0.22664,0.05614,3.12886,2.83188,1.38094,0.0010793,0.0010793,0.0010793
95,3369.63,1.97794,2.44516,0.9957,0.65751,0.25,0.22664,0.05614,3.12886,2.83188,1.38094,0.0010694,0.0010694,0.0010694
96,3390.9,1.60395,2.6128,0.90039,0.8347,0.3,0.33452,0.07814,3.14787,2.73475,1.37961,0.0010595,0.0010595,0.0010595
97,3414.81,1.90079,2.15201,1.09491,0.96323,0.35,0.40132,0.11235,3.02777,2.66241,1.34921,0.0010496,0.0010496,0.0010496
98,3440.04,1.73192,2.67546,0.90165,0.96323,0.35,0.40132,0.11235,3.02777,2.66241,1.34921,0.0010397,0.0010397,0.0010397
99,3481.42,1.59115,3.04978,0.8789,0.80898,0.3,0.32897,0.09787,2.98639,2.65911,1.34956,0.0010298,0.0010298,0.0010298
100,3520.77,1.88217,2.02019,1.0234,0.77887,0.3,0.32818,0.09532,3.06738,2.64561,1.38919,0.0010199,0.0010199,0.0010199
101,3540.14,1.9555,3.00607,0.94491,0.77887,0.3,0.32818,0.09532,3.06738,2.64561,1.38919,0.00101,0.00101,0.00101
102,3564.82,1.52212,2.51982,0.8669,0.80334,0.3,0.33835,0.10676,2.99574,2.58135,1.36751,0.0010001,0.0010001,0.0010001
103,3587.22,1.88025,2.11772,1.00925,0.80691,0.3,0.33555,0.09824,2.94647,2.54742,1.34523,0.0009902,0.0009902,0.0009902
104,3608.19,1.496,2.83326,0.88205,0.80691,0.3,0.33555,0.09824,2.94647,2.54742,1.34523,0.0009803,0.0009803,0.0009803
105,3629.65,1.34512,3.11063,0.74573,1,0.29825,0.33556,0.07684,2.99934,2.57849,1.36356,0.0009704,0.0009704,0.0009704
